model,repeat,variant,checks,valid,positive,negative,uncertain,not_mentioned,semantic_abstention,technical_failure,decided,correct,incorrect,TP,FP,TN,FN,correct_yield,coverage,conditional_accuracy,failure_parse_error,failure_generation_truncated,repair_attempts,generation_seconds,generation_output_tokens,first_pass_seconds,first_pass_output_tokens,run_seconds,peak_gpu_allocated_gib,failure_evidence_error
rule_v1,0,first_pass,60,60,9,25,7,19,26,0,34,28,6,5,4,23,2,0.4666666666666667,0.5666666666666667,0.8235294117647058,,,,,,,,,,
medgemma,1,first_pass,60,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0.0,0.0,,36,24,3,647.1649985067779,12175,362.03420376079157,6773,647.3364231040468,8.652100086212158,
medgemma,1,repair_assisted,60,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0.0,0.0,,24,36,3,647.1649985067779,12175,362.03420376079157,6773,647.3364231040468,8.652100086212158,
medgemma,2,first_pass,60,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0.0,0.0,,36,24,3,639.9065690158168,12175,357.41462345188484,6773,640.0832012480823,8.652100086212158,
medgemma,2,repair_assisted,60,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0.0,0.0,,24,36,3,639.9065690158168,12175,357.41462345188484,6773,640.0832012480823,8.652100086212158,
qwen,1,first_pass,60,58,16,19,1,22,23,2,35,26,9,9,7,17,2,0.43333333333333335,0.5833333333333334,0.7428571428571429,,,0,113.47319026489276,2605,113.47319026489276,2605,113.79623448802158,27.98865795135498,2
qwen,1,repair_assisted,60,58,16,19,1,22,23,2,35,26,9,9,7,17,2,0.43333333333333335,0.5833333333333334,0.7428571428571429,,,0,113.47319026489276,2605,113.47319026489276,2605,113.79623448802158,27.98865795135498,2
qwen,2,first_pass,60,58,16,19,1,22,23,2,35,26,9,9,7,17,2,0.43333333333333335,0.5833333333333334,0.7428571428571429,,,0,126.67742860026192,2605,126.67742860026192,2605,126.81844857998658,27.98865795135498,2
qwen,2,repair_assisted,60,58,16,19,1,22,23,2,35,26,9,9,7,17,2,0.43333333333333335,0.5833333333333334,0.7428571428571429,,,0,126.67742860026192,2605,126.67742860026192,2605,126.81844857998658,27.98865795135498,2
